CustomerID,Name,Email,Age,Country,SignupDate,LastLogin,TotalPurchase,Feedback,CartValue,ItemsBought,DiscountApplied,AvgPurchaseValue
e3e70682-c209-4cac-a29f-6fbed82c07cd,Edwin Mack,timothy14@ward.com,unknown,,2023-10-18,2025-02-14 03:26:26,80.63,Excellent,196.06,,50.0,
f728b4fa-4248-4e3a-8a5d-2f346baa9455,Kimberly Moore,brendagonzalez@atkins.org,75,USA,2025-02-28,2025-02-17 15:38:32,27.38,,136.79,,0.0,
eb1167b3-67a9-4378-bc65-c1e582e2e662,Kaitlin Gregory,velazquezanita@yahoo.com,30,Germany,2023-09-10,2025-02-01 15:53:26,817.67,Bad,239.65,,20.0,
f7c1bd87-4da5-4709-9471-3d60c8a70639,Crystal Gill,allentyler@hill-smith.com,,United States,N/A,2025-05-07 21:17:28,29.28,,291.47,,10.0,
e443df78-9558-467f-9ba9-1faf7a024204,William Martinez,jonesashley@gmail.com,,United States,2024-09-12,2025-05-07 13:32:36,829.67,Average,,,15.0,
23a7711a-8133-4876-b7eb-dcd9e87a1613,Amanda Scott,jvalencia@gmail.com,26,usa,2023-05-03,2025-01-22 01:08:41,196.14,Excellent,376.83,,20.0,
1846d424-c17c-4279-a3c6-612f48268673,Lauren Foster,juliacastillo@yahoo.com,,ind,2024-11-04,2025-01-23 15:42:25,820.41,Average,398.81,,10.0,
fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,David Campbell,xsalazar@gmail.com,77,IN,2023-08-31,2025-04-14 22:40:52,31.0,Bad,,,15.0,
b4862b21-fb97-4435-8856-1712e8e5216a,Susan Larson,vincent73@hotmail.com,,usa,2022-06-04,,998.49,Good,392.52,4,5.0,249.6225
259f4329-e6f4-490b-9a16-4106cf6a659e,,ryan56@hotmail.com,unknown,ind,2024-10-24,2025-04-28 12:41:10,384.15,Average,22.79,3,,128.04999999999998
12e0c8b2-bad6-40fb-9948-8dec4f65d4d9,Ricky Torres,castillokelly@yahoo.com,35,India,2024-02-16,,,Good,137.32,,20.0,
5487ce1e-af19-422a-99b8-a714e61a441c,Joseph Wright,sarah25@perez-becker.biz,unknown,USA,N/A,2025-01-29 05:41:01,186.13,Good,205.18,,,
